# Generated from atlas label .xml files distributed with FSL
# http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/
75,Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 36
76,Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 36
77,Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 21
78,Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 21
79,Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 21
80,Left Cerebellum.Posterior Lobe.Tuber.Gray Matter.*
81,Right Cerebellum.Posterior Lobe.Tuber.Gray Matter.*
82,Left Cerebellum.Posterior Lobe.Pyramis of Vermis.Gray Matter.*
83,Right Cerebellum.Posterior Lobe.Pyramis of Vermis.Gray Matter.*
84,Left Cerebellum.Anterior Lobe.Nodule.Gray Matter.*
85,Left Cerebellum.Anterior Lobe.*.Gray Matter.*
86,Right Cerebellum.Anterior Lobe.Nodule.Gray Matter.*
87,Right Cerebellum.Anterior Lobe.*.Gray Matter.*
88,Left Cerebellum.Anterior Lobe.Culmen.Gray Matter.*
89,Right Cerebellum.Anterior Lobe.Culmen.Gray Matter.*
90,*.Temporal Lobe.*.*.*
91,*.Temporal Lobe.Inferior Temporal Gyrus.*.*
92,Right Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.*.*
93,Left Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.*.*
94,Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 28
95,Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 28
96,Left Cerebrum.Limbic Lobe.Sub-Gyral.White Matter.*
97,Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 21
98,Left Cerebrum.*.Inferior Temporal Gyrus.*.*
99,Left Cerebrum.*.Middle Temporal Gyrus.*.*
100,Left Cerebrum.*.Superior Temporal Gyrus.*.*
101,Left Cerebrum.*.Superior Temporal Gyrus.Gray Matter.Brodmann area 38
102,Left Cerebrum.Frontal Lobe.Orbital Gyrus.Gray Matter.Brodmann area 11
103,Right Cerebrum.*.Orbital Gyrus.Gray Matter.Brodmann area 11
104,*.Frontal Lobe.Orbital Gyrus.*.*
105,Left Cerebrum.Frontal Lobe.Orbital Gyrus.*.*
106,Left Cerebrum.Frontal Lobe.*.*.*
107,Inter-Hemispheric.*.*.*.*
108,Right Cerebrum.Frontal Lobe.*.*.*
109,Right Cerebrum.Frontal Lobe.Orbital Gyrus.Gray Matter.Brodmann area 11
110,Right Cerebrum.Frontal Lobe.Orbital Gyrus.*.*
111,*.*.Orbital Gyrus.*.*
112,Left Cerebrum.Frontal Lobe.Orbital Gyrus.White Matter.*
113,Right Cerebrum.Frontal Lobe.Orbital Gyrus.White Matter.*
114,Left Cerebellum.Posterior Lobe.Tuber of Vermis.Gray Matter.*
115,Right Cerebellum.Posterior Lobe.Tuber of Vermis.Gray Matter.*
116,Left Cerebellum.Anterior Lobe.Pyramis.Gray Matter.*
117,Right Cerebellum.Anterior Lobe.Pyramis.Gray Matter.*
118,Right Cerebellum.Anterior Lobe.*.Gray Matter.Dentate
119,Left Cerebellum.Anterior Lobe.*.Gray Matter.Dentate
120,Left Cerebellum.Posterior Lobe.Culmen.Gray Matter.*
121,Left Cerebrum.Temporal Lobe.Fusiform Gyrus.*.*
122,Right Cerebrum.Temporal Lobe.Fusiform Gyrus.*.*
123,Left Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 20
124,Right Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 20
125,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.*.*
126,*.Limbic Lobe.Parahippocampal Gyrus.*.*
127,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.*.*
128,Left Cerebrum.Temporal Lobe.Fusiform Gyrus.White Matter.*
129,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 36
130,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 36
131,Right Cerebrum.Temporal Lobe.Fusiform Gyrus.White Matter.*
132,Right Cerebrum.Limbic Lobe.Fusiform Gyrus.*.*
133,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.White Matter.*
134,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.White Matter.*
135,Right Cerebrum.Limbic Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 20
136,Left Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 36
137,Left Cerebrum.Limbic Lobe.Fusiform Gyrus.White Matter.*
138,Right Cerebrum.Limbic Lobe.Fusiform Gyrus.White Matter.*
139,*.*.Fusiform Gyrus.*.*
140,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 35
141,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 35
142,Left Cerebrum.Frontal Lobe.Rectal Gyrus.Gray Matter.Brodmann area 11
143,Left Cerebrum.Frontal Lobe.Rectal Gyrus.*.*
