id,global_efficiency,local_efficiency,degree_assortativity_coefficient,average_clustering,average_shortest_path_length,degree_pearson_correlation_coefficient,graph_number_of_cliques,transitivity,DMN_0_bet_cent,DMN_1_bet_cent,DMN_2_bet_cent,DMN_3_bet_cent,DMN_4_bet_cent,DMN_5_bet_cent,DMN_6_bet_cent,DMN_7_bet_cent,DMN_8_bet_cent,DMN_9_bet_cent,DMN_10_bet_cent,DMN_11_bet_cent,DMN_12_bet_cent,DMN_13_bet_cent,DMN_14_bet_cent,DMN_15_bet_cent,DMN_16_bet_cent,DMN_17_bet_cent,DMN_18_bet_cent,DMN_19_bet_cent,DMN_20_bet_cent,DMN_21_bet_cent,DMN_22_bet_cent,DMN_23_bet_cent,DMN_24_bet_cent,DMN_25_bet_cent,DMN_26_bet_cent,DMN_27_bet_cent,DMN_28_bet_cent,DMN_29_bet_cent,DMN_30_bet_cent,DMN_31_bet_cent,DMN_32_bet_cent,DMN_33_bet_cent,DMN_34_bet_cent,DMN_35_bet_cent,DMN_36_bet_cent,DMN_37_bet_cent,DMN_38_bet_cent,DMN_39_bet_cent,DMN_40_bet_cent,DMN_41_bet_cent,DMN_42_bet_cent,DMN_43_bet_cent,DMN_44_bet_cent,DMN_45_bet_cent,DMN_46_bet_cent,DMN_47_bet_cent,DMN_48_bet_cent,DMN_49_bet_cent,DMN_50_bet_cent,DMN_51_bet_cent,DMN_52_bet_cent,DMN_53_bet_cent,DMN_54_bet_cent,DMN_55_bet_cent,DMN_56_bet_cent
21,0.586570593,0.780129947,0.255826764,0.460789101,1.961152882,0.255826764,205,0.442967885,0.016433837,0.021769176,0.006610138,0.053166574,0.028579969,0.018633188,0,0.002673563,0.025463146,0.021176234,0.018486287,0.018615699,0.021046968,0.006816201,0.030207991,0.025305392,0.00426944,0.024415838,0.012646666,0.020924988,0.027176776,0.001515925,0.002965784,0.011997575,0.024590986,0.029024928,0.02664446,0.032045852,0.002074986,0.027688504,0.017260267,0.047437638,0.003681863,0.008061667,0.001605981,0.020715674,0.024361385,0.033592927,0.042444682,0.008987158,0.022141873,0.010447134,0.0024384,0.012751778,0.014867221,0.024934205,0.011838521,0.023677166,0.003225817,0.015779714,0.016282256,0.017264449,0.013038696,0.016462122,0.000246083,0.015088304,0.004503845
25,0.604845447,0.716074375,0.153757921,0.326938382,1.833333333,0.153757921,226,0.321361059,0.027417115,0.022480251,0.007821726,0.011837426,0.013044341,0.013665816,0.000829726,0.011576628,0.0059271,0.007052994,0.011047229,0.018923899,0.027023441,0.004215351,0.008450399,0.024834755,0.023264874,0.022624192,0.010873484,0.021286231,0.040052297,0.011845167,0.015336231,0.028756773,0.019538551,0.00442295,0.012699633,0.0203371,0.023498469,0.024688814,0.006983482,0.006169955,0.011020942,0.012530026,0.012390807,0.018600666,0.008916516,0.004734836,0.022612316,0.01668319,0.00688902,0.021039963,0.013719362,0.014807993,0.007966848,0.017532731,0.03308146,0.002454099,0.002352029,0.024098702,0.042217039,0.013229515,0.008436741,0.005028025,0.012406779,0.019142741,0.003217619
26,0.589390142,0.717880669,0.103969596,0.321619664,1.890977444,0.103969596,189,0.321847507,0.014058999,0.012946209,0.056414487,0.012378871,0.029454852,0.011555557,0.007881913,0.009591517,0.013259254,0.037115225,0.016226511,0.01756169,0.006063296,0.005176105,0.019083652,0.009993358,0.022729313,0.032751799,0.018928957,0.01077742,0.019974127,0.006596036,0.027453511,0.018690021,0.026730341,0.038134124,0.005426355,0.034012508,0.033246406,0.014698096,0.006483206,0.023005581,0.006609714,0.007604599,0.014994532,0.002302083,0.017926104,0.009146584,0.02792621,0.015733017,0.016074871,0.0398947,0.010676472,0.014337206,0.023997215,0.009384045,0.003224022,0.005372125,0.006590413,0.002217473,0.013131793,0.0157564,0.004152639,0.005619343,0.010124223,0.013011891,0.009169651
28,0.5963868,0.731193416,0.187264692,0.362950595,1.875313283,0.187264692,225,0.351683938,0.002595712,0.025870509,0.001095627,0.006427746,0.016379764,0.019404502,0.003611625,0.006277369,0.006929834,0.017638633,0.0172368,0.015152991,0.03425616,0.011048305,0.028913071,0.003946477,0.018450586,0.022888163,0.020616445,0.023313512,0.018832645,0.011859952,0.01081091,0.016776666,0.019385985,0.016225041,0.022779416,0.032266929,0.029973226,0.020056374,0.004806468,0.025649726,0.003696632,0.008919594,0.011895915,0.017282388,0.04261853,0.00707888,0.006944259,0.020091438,0.013386489,0.015317234,0.036958291,0.03706122,0.015375561,0.002988006,0.006365984,0.005909587,0.011876329,0.015892142,0.008502745,0.012846369,0.008199901,0.009221168,0.012740753,0.029058883,0.015437389
29,0.587823726,0.728027279,0.071596063,0.3520798,1.896616541,0.071596063,183,0.332732887,0.014759784,0.010571898,0.026066587,0.02720288,0.023266073,0.012097267,0.021893168,0.020127734,0.021548478,0.01059594,0.01904748,0.020091182,0.010170167,0.005284406,0.025253837,0.010737934,0.023672935,0.020782846,0.013608458,0.013769053,0.018798671,0.010128415,0.021651377,0.035944472,0.033200738,0.029376162,0.009457774,0.023877163,0.014973279,0.006424114,0.016548174,0.013594548,0.006203159,0.006755383,0.008164211,0.029835857,0.019902832,0.011661068,0.009973596,0.004316663,0.009308692,0.000246289,0.017961974,0.023252193,0.017433012,0.02305413,0.005733905,0.012447982,0.007550419,0.002741818,0.022316452,0.015896061,0.006371399,0.036181048,0.009062186,0.02280826,0.015519196
30,0.588032581,0.721080186,0.169247905,0.333242748,1.905388471,0.169247905,199,0.323875932,0.007762547,0.023105104,0.004841176,0.01766175,0.028240748,0.023940259,0.005432975,0.011159163,0.01041646,0.014549501,0.013496846,0.021199078,0.016225226,0.030520204,0.006352454,0.025626392,0.012559972,0.009548981,0.021000723,0.027102785,0.025382947,0.00574228,0.01495985,0.028711226,0.034105206,0.015130216,0.008123117,0.016519643,0.014681955,0.014041389,0.009638179,0.01183458,0.013471715,0.035067264,0.014977584,0.015869487,0.018001079,0.025301617,0.02082569,0.006897302,0.000769645,0.026890837,0.014773852,0.031602031,0.030316212,0.026088044,0.016039735,0.008919334,0.010651135,0.009539491,0.002007019,0.029322291,0.022002502,0.006351457,0.007437642,0.013434656,0.002141138
33,0.611111111,0.705821342,0.066578438,0.30949168,1.804511278,0.066578438,226,0.307883302,0.010649014,0.014627895,0.00448915,0.033398615,0.009616242,0.011303059,0.003298092,0.0149375,0.0254255,0.013453125,0.008925842,0.007936575,0.010429718,0.01865138,0.018991357,0.019156226,0.015880506,0.009310446,0.026337814,0.013694517,0.012547462,0.017488392,0.012954277,0.026183156,0.030620604,0.019773671,0.010680272,0.012662842,0.011857956,0.013221344,0.009318298,0.015317426,0.009874979,0.009516845,0.009623487,0.029190268,0.017352568,0.013168401,0.019405459,0.017615726,0.008591034,0.007381683,0.011455648,0.010740247,0.009217972,0.008787222,0.004163593,0.027175258,0.003096247,0.025106741,0.013042756,0.007159451,0.029072874,0.027605199,0.007357443,0.013544453,0.011382406
34,0.598475355,0.733695211,0.134904587,0.370277224,1.864035088,0.134904587,196,0.362353978,0.022377674,0.010391583,0.024058417,0.005588165,0.043835975,0.013452564,0.010566628,0.022734578,0.016821575,0.021323605,0.013203766,0.011730348,0.01577041,0.008200949,0.014721373,0.045921024,0.024284872,0.018566062,0.013853852,0.017834312,0.009383692,0.006038257,0.019057739,0.013838164,0.012031194,0.014903577,0.016206066,0.017758096,0.007229153,0.008821546,0.013058903,0.032720875,0.004405885,0.017596085,0.013503439,0.046733269,0.012479641,0.020004126,0.010901185,0.010468814,0.012828968,0.008457387,0.017523984,0.007114288,0.014745938,0.006070293,0.002985062,0.002003188,0.027910551,0.008479344,0.006830222,0.003262218,0.013551807,0.0043136,0.04034667,0.020811539,0.015842049
37,0.61487051,0.724893686,0.029066608,0.360604674,1.799498747,0.029066608,236,0.348904827,0.036242998,0.005394421,0.004883111,0.011975808,0.007267711,0.013296383,0.0228736,0.020441862,0.016592033,0.035539737,0.008829105,0.015825832,0.014061734,0.009490108,0.018930942,0.006837646,0.02384515,0.022601242,0.022396648,0.010099123,0.008646333,0.025890888,0.004116335,0.00800817,0.007573608,0.015834976,0.009126895,0.010165884,0.007603939,0.015651319,0.012036484,0.027926432,0.020097272,0.009104897,0.014183809,0.016495157,0.012190821,0.031703074,0.011823488,0.010012624,0.020125409,0.017295861,0.017720618,0.021608314,0.013631448,0.006187143,0.00616445,0.018528309,0.00800233,0.015934573,0.02392852,0.009559335,0.006762007,0.006976622,0.012419928,0.011362803,0.00674616
39,0.595655806,0.724539806,0.087989091,0.343394352,1.864661654,0.087989091,199,0.324606117,0.025845237,0.019905856,0.011870456,0.003682664,0.018037483,0.017118908,0.021742521,0.003239128,0.028403284,0.045826204,0.005031565,0.024459338,0.044220282,0.014042424,0.009425378,0.001290741,0.02187719,0.029045455,0.015544654,0.017275326,0.011321542,0.009316298,0.012496262,0.010913896,0.015812473,0.010417996,0.026050261,0.026664535,0.033714632,0.032491913,0.014935832,0.015124452,0.008001007,0.005802787,0.043205553,0.006711192,0.011855116,0.004839769,0.027178946,0.010846547,0.022519644,0.003997598,0.010576853,0.008551047,0.023898862,0.005170262,0.000744211,0.006840763,0.009976331,0.005042471,0.020081206,0.008031814,0.020277963,0.009864949,0.005578197,0.010934071,0.008432549
40,0.585839599,0.730078301,0.339785192,0.344679538,1.918546366,0.339785192,193,0.367112811,0.015385135,0.014360102,0.004940748,0.006656191,0.021614821,0.02823629,0.014940221,0.002354395,0.012029348,0.021684259,0.016148831,0.015142907,0.014753053,0.009160112,0.032509306,0.028869971,0.008586056,0.009593287,0.02571235,0.016518792,0.003884877,0.034884376,0.011762546,0.029244811,0.020133964,0.02592553,0.021119013,0.03073382,0.010073961,0.006387456,0.023738401,0.023898921,0.011603697,0.020235993,0.01372309,0.017581152,0.038868228,0.008571552,0.012799567,0.007639125,0.022609292,0.008061318,0.021039178,0.017362907,0.014419134,0.013044221,0.026638497,0.013085223,0.004981989,0.034204162,0.016474385,0.011207086,0.005612889,0.012312935,0.011023394,0.014782755,0.013082436
