74,-41,-75,26
75,6,67,-4
76,8,48,-15
77,-13,-40,1
78,-18,63,-9
79,-46,-61,21
80,43,-72,28
81,-44,12,-34
82,46,16,-30
83,-68,-23,-16
86,-44,-65,35
87,-39,-75,44
88,-7,-55,27
89,6,-59,35
90,-11,-56,16
91,-3,-49,13
92,8,-48,31
93,15,-63,26
94,-2,-37,44
95,11,-54,17
96,52,-59,36
97,23,33,48
98,-10,39,52
99,-16,29,53
100,-35,20,51
101,22,39,39
102,13,55,38
103,-10,55,39
104,-20,45,39
105,6,54,16
106,6,64,22
107,-7,51,-1
108,9,54,3
109,-3,44,-9
110,8,42,-5
111,-11,45,8
112,-2,38,36
113,-3,42,16
114,-20,64,19
115,-8,48,23
116,65,-12,-19
117,-56,-13,-10
118,-58,-30,-4
119,65,-31,-9
120,-68,-41,-5
121,13,30,59
122,12,36,20
123,52,-2,-16
124,-26,-40,-8
125,27,-37,-13
126,-34,-38,-16
127,28,-77,-32
128,52,7,-30
129,-53,3,-27
130,47,-50,29
131,-49,-42,1
137,-46,31,-13
139,49,35,-12
